#OTU ID,632.Arctic.Tundra.1,632.Arctic.Tundra.2,632.Wetland.soil,632.Tar.sand.1,632.Northern.peatlands,632.Temperate.deciduous.forest,632.Temperate.rain.forest,632.Boreal.coniferous.forest,632.Tar.sand.2,632.Agricultural.soil.wheat,632.Agricultural.soil.soy,632.UW.community.garden,632.Compost,
3778553,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,2.0,3.0,0.0,0.0,
4468534,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
150541,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,
593422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4341559,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,
978255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
254729,84.0,103.0,1.0,3.0,79.0,83.0,4.0,33.0,112.0,103.0,153.0,0.0,0.0,
253721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
4318651,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
552968,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4295058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
240553,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
888880,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,22.0,0.0,0.0,
4482302,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
